delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2015,18220,15-01,"Connersville, IN",micropolitan,458,"Richmond-Connersville, IN",1,0,18,2015-07-15,2017-08-15
2015,18260,15-01,"Cookeville, TN",micropolitan,,,3,0,47,2015-07-15,2017-08-15
2015,18300,15-01,"Coos Bay, OR",micropolitan,,,1,0,41,2015-07-15,2017-08-15
2015,18380,15-01,"Cordele, GA",micropolitan,,,1,0,13,2015-07-15,2017-08-15
2015,18420,15-01,"Corinth, MS",micropolitan,,,1,0,28,2015-07-15,2017-08-15
2015,18460,15-01,"Cornelia, GA",micropolitan,,,1,0,13,2015-07-15,2017-08-15
2015,18500,15-01,"Corning, NY",micropolitan,236,"Elmira-Corning, NY",1,0,36,2015-07-15,2017-08-15
2015,18580,15-01,"Corpus Christi, TX",metropolitan,204,"Corpus Christi-Kingsville-Alice, TX",3,0,48,2015-07-15,2017-08-15
2015,18620,15-01,"Corsicana, TX",micropolitan,206,"Dallas-Fort Worth, TX-OK",1,0,48,2015-07-15,2017-08-15
2015,18660,15-01,"Cortland, NY",micropolitan,296,"Ithaca-Cortland, NY",1,0,36,2015-07-15,2017-08-15
2015,18700,15-01,"Corvallis, OR",metropolitan,440,"Portland-Vancouver-Salem, OR-WA",1,0,41,2015-07-15,2017-08-15
2015,18740,15-01,"Coshocton, OH",micropolitan,,,1,0,39,2015-07-15,2017-08-15
2015,18780,15-01,"Craig, CO",micropolitan,525,"Steamboat Springs-Craig, CO",1,0,08,2015-07-15,2017-08-15
2015,18820,15-01,"Crawfordsville, IN",micropolitan,294,"Indianapolis-Carmel-Muncie, IN",1,0,18,2015-07-15,2017-08-15
2015,18860,15-01,"Crescent City, CA",micropolitan,,,1,0,06,2015-07-15,2017-08-15
2015,18880,15-01,"Crestview-Fort Walton Beach-Destin, FL",metropolitan,,,2,0,12,2015-07-15,2017-08-15
