code,level,title,parent_code
53-1044,detailed,First-Line Supervisors of Passenger Attendants,53-1040
53-1049,detailed,"First-Line Supervisors of Transportation Workers, All Other",53-1040
53-2000,minor,Air Transportation Workers,53-0000
53-2010,broad,Aircraft Pilots and Flight Engineers,53-2000
53-2011,detailed,"Airline Pilots, Copilots, and Flight Engineers",53-2010
53-2012,detailed,Commercial Pilots,53-2010
53-2020,broad,Air Traffic Controllers and Airfield Operations Specialists,53-2000
53-2021,detailed,Air Traffic Controllers,53-2020
53-2022,detailed,Airfield Operations Specialists,53-2020
53-2030,broad,Flight Attendants,53-2000
53-2031,detailed,Flight Attendants,53-2030
53-3000,minor,Motor Vehicle Operators,53-0000
53-3010,broad,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3000
53-3011,detailed,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3010
53-3030,broad,Driver/Sales Workers and Truck Drivers,53-3000
53-3031,detailed,Driver/Sales Workers,53-3030
53-3032,detailed,Heavy and Tractor-Trailer Truck Drivers,53-3030
53-3033,detailed,Light Truck Drivers,53-3030
53-3050,broad,Passenger Vehicle Drivers,53-3000
53-3051,detailed,"Bus Drivers, School",53-3050
53-3052,detailed,"Bus Drivers, Transit and Intercity",53-3050
53-3053,detailed,Shuttle Drivers and Chauffeurs,53-3050
53-3054,detailed,Taxi Drivers,53-3050
53-3090,broad,Miscellaneous Motor Vehicle Operators,53-3000
53-3099,detailed,"Motor Vehicle Operators, All Other",53-3090
53-4000,minor,Rail Transportation Workers,53-0000
53-4010,broad,Locomotive Engineers and Operators,53-4000
53-4011,detailed,Locomotive Engineers,53-4010
53-4013,detailed,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4010
53-4020,broad,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",53-4000
53-4022,detailed,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",53-4020
53-4030,broad,Railroad Conductors and Yardmasters,53-4000
53-4031,detailed,Railroad Conductors and Yardmasters,53-4030
53-4040,broad,Subway and Streetcar Operators,53-4000
53-4041,detailed,Subway and Streetcar Operators,53-4040
53-4090,broad,Miscellaneous Rail Transportation Workers,53-4000
53-4099,detailed,"Rail Transportation Workers, All Other",53-4090
53-5000,minor,Water Transportation Workers,53-0000
53-5010,broad,Sailors and Marine Oilers,53-5000
53-5011,detailed,Sailors and Marine Oilers,53-5010
53-5020,broad,Ship and Boat Captains and Operators,53-5000
53-5021,detailed,"Captains, Mates, and Pilots of Water Vessels",53-5020
53-5022,detailed,Motorboat Operators,53-5020
53-5030,broad,Ship Engineers,53-5000
53-5031,detailed,Ship Engineers,53-5030
53-6000,minor,Other Transportation Workers,53-0000
53-6010,broad,Bridge and Lock Tenders,53-6000
53-6011,detailed,Bridge and Lock Tenders,53-6010
53-6020,broad,Parking Attendants,53-6000
53-6021,detailed,Parking Attendants,53-6020
53-6030,broad,Transportation Service Attendants,53-6000
53-6031,detailed,Automotive and Watercraft Service Attendants,53-6030
53-6032,detailed,Aircraft Service Attendants,53-6030
53-6040,broad,Traffic Technicians,53-6000
53-6041,detailed,Traffic Technicians,53-6040
53-6050,broad,Transportation Inspectors,53-6000
53-6051,detailed,Transportation Inspectors,53-6050
53-6060,broad,Passenger Attendants,53-6000
53-6061,detailed,Passenger Attendants,53-6060
53-6090,broad,Miscellaneous Transportation Workers,53-6000
53-6099,detailed,"Transportation Workers, All Other",53-6090
53-7000,minor,Material Moving Workers,53-0000
53-7010,broad,Conveyor Operators and Tenders,53-7000
53-7011,detailed,Conveyor Operators and Tenders,53-7010
53-7020,broad,Crane and Tower Operators,53-7000
53-7021,detailed,Crane and Tower Operators,53-7020
53-7030,broad,Dredge Operators,53-7000
53-7031,detailed,Dredge Operators,53-7030
53-7040,broad,Hoist and Winch Operators,53-7000
53-7041,detailed,Hoist and Winch Operators,53-7040
53-7050,broad,Industrial Truck and Tractor Operators,53-7000
53-7051,detailed,Industrial Truck and Tractor Operators,53-7050
53-7060,broad,Laborers and Material Movers,53-7000
53-7061,detailed,Cleaners of Vehicles and Equipment,53-7060
53-7062,detailed,"Laborers and Freight, Stock, and Material Movers, Hand",53-7060
53-7063,detailed,Machine Feeders and Offbearers,53-7060
53-7064,detailed,"Packers and Packagers, Hand",53-7060
53-7065,detailed,Stockers and Order Fillers,53-7060
53-7070,broad,Pumping Station Operators,53-7000
53-7071,detailed,Gas Compressor and Gas Pumping Station Operators,53-7070
53-7072,detailed,"Pump Operators, Except Wellhead Pumpers",53-7070
53-7073,detailed,Wellhead Pumpers,53-7070
53-7080,broad,Refuse and Recyclable Material Collectors,53-7000
53-7081,detailed,Refuse and Recyclable Material Collectors,53-7080
53-7120,broad,"Tank Car, Truck, and Ship Loaders",53-7000
53-7121,detailed,"Tank Car, Truck, and Ship Loaders",53-7120
53-7190,broad,Miscellaneous Material Moving Workers,53-7000
53-7199,detailed,"Material Moving Workers, All Other",53-7190
55-0000,major,Military Specific Occupations,
55-1000,minor,Military Officer Special and Tactical Operations Leaders,55-0000
55-1010,broad,Military Officer Special and Tactical Operations Leaders,55-1000
55-1011,detailed,Air Crew Officers,55-1010
55-1012,detailed,Aircraft Launch and Recovery Officers,55-1010
55-1013,detailed,Armored Assault Vehicle Officers,55-1010
55-1014,detailed,Artillery and Missile Officers,55-1010
55-1015,detailed,Command and Control Center Officers,55-1010
55-1016,detailed,Infantry Officers,55-1010
55-1017,detailed,Special Forces Officers,55-1010
55-1019,detailed,"Military Officer Special and Tactical Operations Leaders, All Other",55-1010
55-2000,minor,First-Line Enlisted Military Supervisors,55-0000
55-2010,broad,First-Line Enlisted Military Supervisors,55-2000
55-2011,detailed,First-Line Supervisors of Air Crew Members,55-2010
55-2012,detailed,First-Line Supervisors of Weapons Specialists/Crew Members,55-2010
