code,level,title,parent_code
37-1010,broad,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,37-1000
37-1011,detailed,First-Line Supervisors of Housekeeping and Janitorial Workers,37-1010
37-1012,detailed,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1010
37-2000,minor,Building Cleaning and Pest Control Workers,37-0000
37-2010,broad,Building Cleaning Workers,37-2000
37-2011,detailed,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2010
37-2012,detailed,Maids and Housekeeping Cleaners,37-2010
37-2019,detailed,"Building Cleaning Workers, All Other",37-2010
37-2020,broad,Pest Control Workers,37-2000
37-2021,detailed,Pest Control Workers,37-2020
37-3000,minor,Grounds Maintenance Workers,37-0000
37-3010,broad,Grounds Maintenance Workers,37-3000
37-3011,detailed,Landscaping and Groundskeeping Workers,37-3010
37-3012,detailed,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3010
37-3013,detailed,Tree Trimmers and Pruners,37-3010
37-3019,detailed,"Grounds Maintenance Workers, All Other",37-3010
39-0000,major,Personal Care and Service Occupations,
39-1000,minor,Supervisors of Personal Care and Service Workers,39-0000
39-1010,broad,First-Line Supervisors of Entertainment and Recreation Workers,39-1000
39-1013,detailed,First-Line Supervisors of Gambling Services Workers,39-1010
39-1014,detailed,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1010
39-1020,broad,First-Line Supervisors of Personal Service Workers,39-1000
39-1022,detailed,First-Line Supervisors of Personal Service Workers,39-1020
39-2000,minor,Animal Care and Service Workers,39-0000
39-2010,broad,Animal Trainers,39-2000
39-2011,detailed,Animal Trainers,39-2010
39-2020,broad,Animal Caretakers,39-2000
39-2021,detailed,Animal Caretakers,39-2020
39-3000,minor,Entertainment Attendants and Related Workers,39-0000
39-3010,broad,Gambling Services Workers,39-3000
39-3011,detailed,Gambling Dealers,39-3010
39-3012,detailed,Gambling and Sports Book Writers and Runners,39-3010
39-3019,detailed,"Gambling Service Workers, All Other",39-3010
39-3020,broad,Motion Picture Projectionists,39-3000
39-3021,detailed,Motion Picture Projectionists,39-3020
39-3030,broad,"Ushers, Lobby Attendants, and Ticket Takers",39-3000
39-3031,detailed,"Ushers, Lobby Attendants, and Ticket Takers",39-3030
39-3090,broad,Miscellaneous Entertainment Attendants and Related Workers,39-3000
39-3091,detailed,Amusement and Recreation Attendants,39-3090
39-3092,detailed,Costume Attendants,39-3090
39-3093,detailed,"Locker Room, Coatroom, and Dressing Room Attendants",39-3090
39-3099,detailed,"Entertainment Attendants and Related Workers, All Other",39-3090
39-4000,minor,Funeral Service Workers,39-0000
39-4010,broad,Embalmers and Crematory Operators,39-4000
39-4011,detailed,Embalmers,39-4010
39-4012,detailed,Crematory Operators,39-4010
39-4020,broad,Funeral Attendants,39-4000
39-4021,detailed,Funeral Attendants,39-4020
39-4030,broad,"Morticians, Undertakers, and Funeral Arrangers",39-4000
39-4031,detailed,"Morticians, Undertakers, and Funeral Arrangers",39-4030
39-5000,minor,Personal Appearance Workers,39-0000
39-5010,broad,"Barbers, Hairdressers, Hairstylists and Cosmetologists",39-5000
39-5011,detailed,Barbers,39-5010
39-5012,detailed,"Hairdressers, Hairstylists, and Cosmetologists",39-5010
39-5090,broad,Miscellaneous Personal Appearance Workers,39-5000
39-5091,detailed,"Makeup Artists, Theatrical and Performance",39-5090
39-5092,detailed,Manicurists and Pedicurists,39-5090
39-5093,detailed,Shampooers,39-5090
39-5094,detailed,Skincare Specialists,39-5090
39-6000,minor,"Baggage Porters, Bellhops, and Concierges",39-0000
39-6010,broad,"Baggage Porters, Bellhops, and Concierges",39-6000
39-6011,detailed,Baggage Porters and Bellhops,39-6010
39-6012,detailed,Concierges,39-6010
39-7000,minor,Tour and Travel Guides,39-0000
39-7010,broad,Tour and Travel Guides,39-7000
39-7011,detailed,Tour Guides and Escorts,39-7010
39-7012,detailed,Travel Guides,39-7010
39-9000,minor,Other Personal Care and Service Workers,39-0000
39-9010,broad,Childcare Workers,39-9000
39-9011,detailed,Childcare Workers,39-9010
39-9030,broad,Recreation and Fitness Workers,39-9000
39-9031,detailed,Exercise Trainers and Group Fitness Instructors,39-9030
39-9032,detailed,Recreation Workers,39-9030
39-9040,broad,Residential Advisors,39-9000
39-9041,detailed,Residential Advisors,39-9040
39-9090,broad,Miscellaneous Personal Care and Service Workers,39-9000
39-9099,detailed,"Personal Care and Service Workers, All Other",39-9090
41-0000,major,Sales and Related Occupations,
41-1000,minor,Supervisors of Sales Workers,41-0000
41-1010,broad,First-Line Supervisors of Sales Workers,41-1000
41-1011,detailed,First-Line Supervisors of Retail Sales Workers,41-1010
41-1012,detailed,First-Line Supervisors of Non-Retail Sales Workers,41-1010
41-2000,minor,Retail Sales Workers,41-0000
41-2010,broad,Cashiers,41-2000
41-2011,detailed,Cashiers,41-2010
41-2012,detailed,Gambling Change Persons and Booth Cashiers,41-2010
41-2020,broad,Counter and Rental Clerks and Parts Salespersons,41-2000
41-2021,detailed,Counter and Rental Clerks,41-2020
41-2022,detailed,Parts Salespersons,41-2020
41-2030,broad,Retail Salespersons,41-2000
41-2031,detailed,Retail Salespersons,41-2030
41-3000,minor,"Sales Representatives, Services",41-0000
41-3010,broad,Advertising Sales Agents,41-3000
41-3011,detailed,Advertising Sales Agents,41-3010
41-3020,broad,Insurance Sales Agents,41-3000
41-3021,detailed,Insurance Sales Agents,41-3020
41-3030,broad,"Securities, Commodities, and Financial Services Sales Agents",41-3000
41-3031,detailed,"Securities, Commodities, and Financial Services Sales Agents",41-3030
41-3040,broad,Travel Agents,41-3000
41-3041,detailed,Travel Agents,41-3040
41-3090,broad,"Miscellaneous Sales Representatives, Services",41-3000
41-3091,detailed,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3090
41-4000,minor,"Sales Representatives, Wholesale and Manufacturing",41-0000
41-4010,broad,"Sales Representatives, Wholesale and Manufacturing",41-4000
41-4011,detailed,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4010
41-4012,detailed,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4010
41-9000,minor,Other Sales and Related Workers,41-0000
41-9010,broad,"Models, Demonstrators, and Product Promoters",41-9000
41-9011,detailed,Demonstrators and Product Promoters,41-9010
41-9012,detailed,Models,41-9010
41-9020,broad,Real Estate Brokers and Sales Agents,41-9000
41-9021,detailed,Real Estate Brokers,41-9020
41-9022,detailed,Real Estate Sales Agents,41-9020
41-9030,broad,Sales Engineers,41-9000
41-9031,detailed,Sales Engineers,41-9030
41-9040,broad,Telemarketers,41-9000
41-9041,detailed,Telemarketers,41-9040
41-9090,broad,Miscellaneous Sales and Related Workers,41-9000
41-9091,detailed,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9090
41-9099,detailed,"Sales and Related Workers, All Other",41-9090
43-0000,major,Office and Administrative Support Occupations,
43-1000,minor,Supervisors of Office and Administrative Support Workers,43-0000
43-1010,broad,First-Line Supervisors of Office and Administrative Support Workers,43-1000
43-1011,detailed,First-Line Supervisors of Office and Administrative Support Workers,43-1010
43-2000,minor,Communications Equipment Operators,43-0000
43-2010,broad,"Switchboard Operators, Including Answering Service",43-2000
43-2011,detailed,"Switchboard Operators, Including Answering Service",43-2010
43-2020,broad,Telephone Operators,43-2000
43-2021,detailed,Telephone Operators,43-2020
43-2090,broad,Miscellaneous Communications Equipment Operators,43-2000
43-2099,detailed,"Communications Equipment Operators, All Other",43-2090
43-3000,minor,Financial Clerks,43-0000
43-3010,broad,Bill and Account Collectors,43-3000
43-3011,detailed,Bill and Account Collectors,43-3010
43-3020,broad,Billing and Posting Clerks,43-3000
43-3021,detailed,Billing and Posting Clerks,43-3020
43-3030,broad,"Bookkeeping, Accounting, and Auditing Clerks",43-3000
43-3031,detailed,"Bookkeeping, Accounting, and Auditing Clerks",43-3030
43-3040,broad,Gambling Cage Workers,43-3000
43-3041,detailed,Gambling Cage Workers,43-3040
43-3050,broad,Payroll and Timekeeping Clerks,43-3000
43-3051,detailed,Payroll and Timekeeping Clerks,43-3050
43-3060,broad,Procurement Clerks,43-3000
43-3061,detailed,Procurement Clerks,43-3060
43-3070,broad,Tellers,43-3000
43-3071,detailed,Tellers,43-3070
43-3090,broad,Miscellaneous Financial Clerks,43-3000
43-3099,detailed,"Financial Clerks, All Other",43-3090
43-4000,minor,Information and Record Clerks,43-0000
43-4010,broad,Brokerage Clerks,43-4000
43-4011,detailed,Brokerage Clerks,43-4010
43-4020,broad,Correspondence Clerks,43-4000
43-4021,detailed,Correspondence Clerks,43-4020
43-4030,broad,"Court, Municipal, and License Clerks",43-4000
43-4031,detailed,"Court, Municipal, and License Clerks",43-4030
43-4040,broad,"Credit Authorizers, Checkers, and Clerks",43-4000
43-4041,detailed,"Credit Authorizers, Checkers, and Clerks",43-4040
43-4050,broad,Customer Service Representatives,43-4000
43-4051,detailed,Customer Service Representatives,43-4050
43-4060,broad,"Eligibility Interviewers, Government Programs",43-4000
43-4061,detailed,"Eligibility Interviewers, Government Programs",43-4060
43-4070,broad,File Clerks,43-4000
43-4071,detailed,File Clerks,43-4070
43-4080,broad,"Hotel, Motel, and Resort Desk Clerks",43-4000
43-4081,detailed,"Hotel, Motel, and Resort Desk Clerks",43-4080
43-4110,broad,"Interviewers, Except Eligibility and Loan",43-4000
43-4111,detailed,"Interviewers, Except Eligibility and Loan",43-4110
43-4120,broad,"Library Assistants, Clerical",43-4000
43-4121,detailed,"Library Assistants, Clerical",43-4120
43-4130,broad,Loan Interviewers and Clerks,43-4000
43-4131,detailed,Loan Interviewers and Clerks,43-4130
43-4140,broad,New Accounts Clerks,43-4000
43-4141,detailed,New Accounts Clerks,43-4140
43-4150,broad,Order Clerks,43-4000
43-4151,detailed,Order Clerks,43-4150
43-4160,broad,"Human Resources Assistants, Except Payroll and Timekeeping",43-4000
43-4161,detailed,"Human Resources Assistants, Except Payroll and Timekeeping",43-4160
43-4170,broad,Receptionists and Information Clerks,43-4000
43-4171,detailed,Receptionists and Information Clerks,43-4170
43-4180,broad,Reservation and Transportation Ticket Agents and Travel Clerks,43-4000
43-4181,detailed,Reservation and Transportation Ticket Agents and Travel Clerks,43-4180
43-4190,broad,Miscellaneous Information and Record Clerks,43-4000
43-4199,detailed,"Information and Record Clerks, All Other",43-4190
43-5000,minor,"Material Recording, Scheduling, Dispatching, and Distributing Workers",43-0000
43-5010,broad,Cargo and Freight Agents,43-5000
43-5011,detailed,Cargo and Freight Agents,43-5010
43-5020,broad,Couriers and Messengers,43-5000
43-5021,detailed,Couriers and Messengers,43-5020
43-5030,broad,Dispatchers,43-5000
43-5031,detailed,Public Safety Telecommunicators,43-5030
43-5032,detailed,"Dispatchers, Except Police, Fire, and Ambulance",43-5030
43-5040,broad,"Meter Readers, Utilities",43-5000
43-5041,detailed,"Meter Readers, Utilities",43-5040
43-5050,broad,Postal Service Workers,43-5000
43-5051,detailed,Postal Service Clerks,43-5050
43-5052,detailed,Postal Service Mail Carriers,43-5050
43-5053,detailed,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5050
43-5060,broad,"Production, Planning, and Expediting Clerks",43-5000
43-5061,detailed,"Production, Planning, and Expediting Clerks",43-5060
43-5070,broad,"Shipping, Receiving, and Inventory Clerks",43-5000
43-5071,detailed,"Shipping, Receiving, and Inventory Clerks",43-5070
43-5110,broad,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5000
43-5111,detailed,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5110
43-6000,minor,Secretaries and Administrative Assistants,43-0000
43-6010,broad,Secretaries and Administrative Assistants,43-6000
43-6011,detailed,Executive Secretaries and Executive Administrative Assistants,43-6010
43-6012,detailed,Legal Secretaries and Administrative Assistants,43-6010
43-6013,detailed,Medical Secretaries and Administrative Assistants,43-6010
43-6014,detailed,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6010
43-9000,minor,Other Office and Administrative Support Workers,43-0000
43-9020,broad,Data Entry and Information Processing Workers,43-9000
43-9021,detailed,Data Entry Keyers,43-9020
43-9022,detailed,Word Processors and Typists,43-9020
43-9030,broad,Desktop Publishers,43-9000
43-9031,detailed,Desktop Publishers,43-9030
43-9040,broad,Insurance Claims and Policy Processing Clerks,43-9000
43-9041,detailed,Insurance Claims and Policy Processing Clerks,43-9040
43-9050,broad,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9000
43-9051,detailed,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9050
43-9060,broad,"Office Clerks, General",43-9000
43-9061,detailed,"Office Clerks, General",43-9060
43-9070,broad,"Office Machine Operators, Except Computer",43-9000
43-9071,detailed,"Office Machine Operators, Except Computer",43-9070
43-9080,broad,Proofreaders and Copy Markers,43-9000
43-9081,detailed,Proofreaders and Copy Markers,43-9080
43-9110,broad,Statistical Assistants,43-9000
43-9111,detailed,Statistical Assistants,43-9110
43-9190,broad,Miscellaneous Office and Administrative Support Workers,43-9000
43-9199,detailed,"Office and Administrative Support Workers, All Other",43-9190
45-0000,major,"Farming, Fishing, and Forestry Occupations",
45-1000,minor,"Supervisors of Farming, Fishing, and Forestry Workers",45-0000
45-1010,broad,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1000
45-1011,detailed,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1010
45-2000,minor,Agricultural Workers,45-0000
45-2010,broad,Agricultural Inspectors,45-2000
45-2011,detailed,Agricultural Inspectors,45-2010
45-2020,broad,Animal Breeders,45-2000
45-2021,detailed,Animal Breeders,45-2020
45-2040,broad,"Graders and Sorters, Agricultural Products",45-2000
45-2041,detailed,"Graders and Sorters, Agricultural Products",45-2040
45-2090,broad,Miscellaneous Agricultural Workers,45-2000
45-2091,detailed,Agricultural Equipment Operators,45-2090
45-2092,detailed,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2090
45-2093,detailed,"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2090
45-2099,detailed,"Agricultural Workers, All Other",45-2090
45-3000,minor,Fishing and Hunting Workers,45-0000
45-3030,broad,Fishing and Hunting Workers,45-3000
45-3031,detailed,Fishing and Hunting Workers,45-3030
45-4000,minor,"Forest, Conservation, and Logging Workers",45-0000
45-4010,broad,Forest and Conservation Workers,45-4000
45-4011,detailed,Forest and Conservation Workers,45-4010
45-4020,broad,Logging Workers,45-4000
45-4021,detailed,Fallers,45-4020
45-4022,detailed,Logging Equipment Operators,45-4020
45-4023,detailed,Log Graders and Scalers,45-4020
45-4029,detailed,"Logging Workers, All Other",45-4020
47-0000,major,Construction and Extraction Occupations,
47-1000,minor,Supervisors of Construction and Extraction Workers,47-0000
47-1010,broad,First-Line Supervisors of Construction Trades and Extraction Workers,47-1000
47-1011,detailed,First-Line Supervisors of Construction Trades and Extraction Workers,47-1010
47-2000,minor,Construction Trades Workers,47-0000
47-2010,broad,Boilermakers,47-2000
47-2011,detailed,Boilermakers,47-2010
47-2020,broad,"Brickmasons, Blockmasons, and Stonemasons",47-2000
47-2021,detailed,Brickmasons and Blockmasons,47-2020
47-2022,detailed,Stonemasons,47-2020
47-2030,broad,Carpenters,47-2000
47-2031,detailed,Carpenters,47-2030
47-2040,broad,"Carpet, Floor, and Tile Installers and Finishers",47-2000
47-2041,detailed,Carpet Installers,47-2040
47-2042,detailed,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2040
47-2043,detailed,Floor Sanders and Finishers,47-2040
47-2044,detailed,Tile and Stone Setters,47-2040
47-2050,broad,"Cement Masons, Concrete Finishers, and Terrazzo Workers",47-2000
47-2051,detailed,Cement Masons and Concrete Finishers,47-2050
47-2053,detailed,Terrazzo Workers and Finishers,47-2050
47-2060,broad,Construction Laborers,47-2000
47-2061,detailed,Construction Laborers,47-2060
47-2070,broad,Construction Equipment Operators,47-2000
47-2071,detailed,"Paving, Surfacing, and Tamping Equipment Operators",47-2070
47-2072,detailed,Pile Driver Operators,47-2070
47-2073,detailed,Operating Engineers and Other Construction Equipment Operators,47-2070
47-2080,broad,"Drywall Installers, Ceiling Tile Installers, and Tapers",47-2000
47-2081,detailed,Drywall and Ceiling Tile Installers,47-2080
47-2082,detailed,Tapers,47-2080
47-2110,broad,Electricians,47-2000
47-2111,detailed,Electricians,47-2110
47-2120,broad,Glaziers,47-2000
47-2121,detailed,Glaziers,47-2120
47-2130,broad,Insulation Workers,47-2000
47-2131,detailed,"Insulation Workers, Floor, Ceiling, and Wall",47-2130
47-2132,detailed,"Insulation Workers, Mechanical",47-2130
47-2140,broad,Painters and Paperhangers,47-2000
47-2141,detailed,"Painters, Construction and Maintenance",47-2140
47-2142,detailed,Paperhangers,47-2140
47-2150,broad,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-2000
47-2151,detailed,Pipelayers,47-2150
47-2152,detailed,"Plumbers, Pipefitters, and Steamfitters",47-2150
47-2160,broad,Plasterers and Stucco Masons,47-2000
47-2161,detailed,Plasterers and Stucco Masons,47-2160
47-2170,broad,Reinforcing Iron and Rebar Workers,47-2000
47-2171,detailed,Reinforcing Iron and Rebar Workers,47-2170
47-2180,broad,Roofers,47-2000
47-2181,detailed,Roofers,47-2180
47-2210,broad,Sheet Metal Workers,47-2000
47-2211,detailed,Sheet Metal Workers,47-2210
47-2220,broad,Structural Iron and Steel Workers,47-2000
47-2221,detailed,Structural Iron and Steel Workers,47-2220
47-2230,broad,Solar Photovoltaic Installers,47-2000
47-2231,detailed,Solar Photovoltaic Installers,47-2230
47-3000,minor,"Helpers, Construction Trades",47-0000
47-3010,broad,"Helpers, Construction Trades",47-3000
47-3011,detailed,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3010
47-3012,detailed,Helpers--Carpenters,47-3010
47-3013,detailed,Helpers--Electricians,47-3010
47-3014,detailed,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3010
47-3015,detailed,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3010
47-3016,detailed,Helpers--Roofers,47-3010
47-3019,detailed,"Helpers, Construction Trades, All Other",47-3010
47-4000,minor,Other Construction and Related Workers,47-0000
47-4010,broad,Construction and Building Inspectors,47-4000
47-4011,detailed,Construction and Building Inspectors,47-4010
47-4020,broad,Elevator and Escalator Installers and Repairers,47-4000
47-4021,detailed,Elevator and Escalator Installers and Repairers,47-4020
47-4030,broad,Fence Erectors,47-4000
47-4031,detailed,Fence Erectors,47-4030
47-4040,broad,Hazardous Materials Removal Workers,47-4000
47-4041,detailed,Hazardous Materials Removal Workers,47-4040
47-4050,broad,Highway Maintenance Workers,47-4000
47-4051,detailed,Highway Maintenance Workers,47-4050
47-4060,broad,Rail-Track Laying and Maintenance Equipment Operators,47-4000
47-4061,detailed,Rail-Track Laying and Maintenance Equipment Operators,47-4060
47-4070,broad,Septic Tank Servicers and Sewer Pipe Cleaners,47-4000
47-4071,detailed,Septic Tank Servicers and Sewer Pipe Cleaners,47-4070
47-4090,broad,Miscellaneous Construction and Related Workers,47-4000
47-4091,detailed,Segmental Pavers,47-4090
47-4099,detailed,"Construction and Related Workers, All Other",47-4090
47-5000,minor,Extraction Workers,47-0000
47-5010,broad,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",47-5000
47-5011,detailed,"Derrick Operators, Oil and Gas",47-5010
47-5012,detailed,"Rotary Drill Operators, Oil and Gas",47-5010
47-5013,detailed,"Service Unit Operators, Oil and Gas",47-5010
47-5020,broad,Surface Mining Machine Operators and Earth Drillers,47-5000
47-5022,detailed,"Excavating and Loading Machine and Dragline Operators, Surface Mining",47-5020
47-5023,detailed,"Earth Drillers, Except Oil and Gas",47-5020
47-5030,broad,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5000
47-5032,detailed,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5030
47-5040,broad,Underground Mining Machine Operators,47-5000
47-5041,detailed,Continuous Mining Machine Operators,47-5040
47-5043,detailed,"Roof Bolters, Mining",47-5040
47-5044,detailed,"Loading and Moving Machine Operators, Underground Mining",47-5040
47-5049,detailed,"Underground Mining Machine Operators, All Other",47-5040
47-5050,broad,"Rock Splitters, Quarry",47-5000
47-5051,detailed,"Rock Splitters, Quarry",47-5050
47-5070,broad,"Roustabouts, Oil and Gas",47-5000
47-5071,detailed,"Roustabouts, Oil and Gas",47-5070
47-5080,broad,Helpers--Extraction Workers,47-5000
47-5081,detailed,Helpers--Extraction Workers,47-5080
47-5090,broad,Miscellaneous Extraction Workers,47-5000
47-5099,detailed,"Extraction Workers, All Other",47-5090
49-0000,major,"Installation, Maintenance, and Repair Occupations",
49-1000,minor,"Supervisors of Installation, Maintenance, and Repair Workers",49-0000
49-1010,broad,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1000
49-1011,detailed,"First-Line Supervisors of Mechanics, Installers, and Repairers",49-1010
49-2000,minor,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49-0000
49-2010,broad,"Computer, Automated Teller, and Office Machine Repairers",49-2000
49-2011,detailed,"Computer, Automated Teller, and Office Machine Repairers",49-2010
49-2020,broad,Radio and Telecommunications Equipment Installers and Repairers,49-2000
49-2021,detailed,"Radio, Cellular, and Tower Equipment Installers and Repairers",49-2020
49-2022,detailed,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2020
49-2090,broad,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",49-2000
49-2091,detailed,Avionics Technicians,49-2090
49-2092,detailed,"Electric Motor, Power Tool, and Related Repairers",49-2090
49-2093,detailed,"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2090
49-2094,detailed,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2090
49-2095,detailed,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2090
49-2096,detailed,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2090
49-2097,detailed,Audiovisual Equipment Installers and Repairers,49-2090
49-2098,detailed,Security and Fire Alarm Systems Installers,49-2090
49-3000,minor,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49-0000
49-3010,broad,Aircraft Mechanics and Service Technicians,49-3000
49-3011,detailed,Aircraft Mechanics and Service Technicians,49-3010
49-3020,broad,Automotive Technicians and Repairers,49-3000
49-3021,detailed,Automotive Body and Related Repairers,49-3020
49-3022,detailed,Automotive Glass Installers and Repairers,49-3020
49-3023,detailed,Automotive Service Technicians and Mechanics,49-3020
49-3030,broad,Bus and Truck Mechanics and Diesel Engine Specialists,49-3000
49-3031,detailed,Bus and Truck Mechanics and Diesel Engine Specialists,49-3030
49-3040,broad,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,49-3000
49-3041,detailed,Farm Equipment Mechanics and Service Technicians,49-3040
49-3042,detailed,"Mobile Heavy Equipment Mechanics, Except Engines",49-3040
49-3043,detailed,Rail Car Repairers,49-3040
49-3050,broad,Small Engine Mechanics,49-3000
49-3051,detailed,Motorboat Mechanics and Service Technicians,49-3050
49-3052,detailed,Motorcycle Mechanics,49-3050
49-3053,detailed,Outdoor Power Equipment and Other Small Engine Mechanics,49-3050
49-3090,broad,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49-3000
49-3091,detailed,Bicycle Repairers,49-3090
49-3092,detailed,Recreational Vehicle Service Technicians,49-3090
49-3093,detailed,Tire Repairers and Changers,49-3090
49-9000,minor,"Other Installation, Maintenance, and Repair Occupations",49-0000
49-9010,broad,Control and Valve Installers and Repairers,49-9000
49-9011,detailed,Mechanical Door Repairers,49-9010
49-9012,detailed,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9010
49-9020,broad,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9000
49-9021,detailed,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9020
49-9030,broad,Home Appliance Repairers,49-9000
49-9031,detailed,Home Appliance Repairers,49-9030
49-9040,broad,"Industrial Machinery Installation, Repair, and Maintenance Workers",49-9000
49-9041,detailed,Industrial Machinery Mechanics,49-9040
49-9043,detailed,"Maintenance Workers, Machinery",49-9040
49-9044,detailed,Millwrights,49-9040
49-9045,detailed,"Refractory Materials Repairers, Except Brickmasons",49-9040
49-9050,broad,Line Installers and Repairers,49-9000
49-9051,detailed,Electrical Power-Line Installers and Repairers,49-9050
49-9052,detailed,Telecommunications Line Installers and Repairers,49-9050
49-9060,broad,Precision Instrument and Equipment Repairers,49-9000
49-9061,detailed,Camera and Photographic Equipment Repairers,49-9060
49-9062,detailed,Medical Equipment Repairers,49-9060
49-9063,detailed,Musical Instrument Repairers and Tuners,49-9060
49-9064,detailed,Watch and Clock Repairers,49-9060
49-9069,detailed,"Precision Instrument and Equipment Repairers, All Other",49-9060
49-9070,broad,"Maintenance and Repair Workers, General",49-9000
49-9071,detailed,"Maintenance and Repair Workers, General",49-9070
49-9080,broad,Wind Turbine Service Technicians,49-9000
49-9081,detailed,Wind Turbine Service Technicians,49-9080
49-9090,broad,"Miscellaneous Installation, Maintenance, and Repair Workers",49-9000
49-9091,detailed,"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9090
49-9092,detailed,Commercial Divers,49-9090
49-9094,detailed,Locksmiths and Safe Repairers,49-9090
49-9095,detailed,Manufactured Building and Mobile Home Installers,49-9090
49-9096,detailed,Riggers,49-9090
49-9097,detailed,Signal and Track Switch Repairers,49-9090
49-9098,detailed,"Helpers--Installation, Maintenance, and Repair Workers",49-9090
49-9099,detailed,"Installation, Maintenance, and Repair Workers, All Other",49-9090
51-0000,major,Production Occupations,
51-1000,minor,Supervisors of Production Workers,51-0000
51-1010,broad,First-Line Supervisors of Production and Operating Workers,51-1000
51-1011,detailed,First-Line Supervisors of Production and Operating Workers,51-1010
51-2000,minor,Assemblers and Fabricators,51-0000
51-2010,broad,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2000
51-2011,detailed,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2010
51-2020,broad,"Electrical, Electronics, and Electromechanical Assemblers",51-2000
51-2021,detailed,"Coil Winders, Tapers, and Finishers",51-2020
51-2022,detailed,Electrical and Electronic Equipment Assemblers,51-2020
51-2023,detailed,Electromechanical Equipment Assemblers,51-2020
51-2030,broad,Engine and Other Machine Assemblers,51-2000
51-2031,detailed,Engine and Other Machine Assemblers,51-2030
51-2040,broad,Structural Metal Fabricators and Fitters,51-2000
51-2041,detailed,Structural Metal Fabricators and Fitters,51-2040
51-2050,broad,Fiberglass Laminators and Fabricators,51-2000
51-2051,detailed,Fiberglass Laminators and Fabricators,51-2050
51-2060,broad,Timing Device Assemblers and Adjusters,51-2000
51-2061,detailed,Timing Device Assemblers and Adjusters,51-2060
51-2090,broad,Miscellaneous Assemblers and Fabricators,51-2000
51-2092,detailed,Team Assemblers,51-2090
51-2099,detailed,"Assemblers and Fabricators, All Other",51-2090
51-3000,minor,Food Processing Workers,51-0000
51-3010,broad,Bakers,51-3000
51-3011,detailed,Bakers,51-3010
51-3020,broad,"Butchers and Other Meat, Poultry, and Fish Processing Workers",51-3000
51-3021,detailed,Butchers and Meat Cutters,51-3020
51-3022,detailed,"Meat, Poultry, and Fish Cutters and Trimmers",51-3020
51-3023,detailed,Slaughterers and Meat Packers,51-3020
